status,fiedler,spectral_gap,score,prefix,config,n_samples,dim
success,0.0,5.825054236070127e-05,5.825054236070127e-05,"[0.0, 5.825054236070127e-05, 8.842613436102428e-05, 0.0003834154014744944, 0.0004406604496883867]",baseline,1000,128
success,0.0,0.2023296881141892,0.2023296881141892,"[0.0, 0.2023296881141892, 0.2554109884913062, 0.25917044280122026, 0.2867302830061931]",optimized,1000,128
