number,value,datetime_start,datetime_complete,duration,params_eps,params_k,params_p,params_sigma,params_topk,state,dataset_n,dataset_dim
0,1.3203306405641868,2026-03-12 12:14:06.398071,2026-03-12 12:14:06.811913,0 days 00:00:00.413842,0.2579595528259733,192,2.400127176289203,0.031202472845886203,34,COMPLETE,100,384
1,1.457469488807791,2026-03-12 12:14:06.864110,2026-03-12 12:14:07.229440,0 days 00:00:00.365330,0.02101023932374842,166,2.4089763548083876,0.0338161996820895,24,COMPLETE,100,384
2,0.3767568257668247,2026-03-12 12:14:07.257993,2026-03-12 12:14:07.577761,0 days 00:00:00.319768,0.013535851969309518,16,1.011310171388014,0.786048734316358,56,COMPLETE,100,384
3,2.0768706988570247,2026-03-12 12:14:07.605895,2026-03-12 12:14:07.936592,0 days 00:00:00.330697,0.17305385501730128,64,2.3270591257008837,0.21280923518457937,35,COMPLETE,100,384
4,1.938747853193871,2026-03-12 12:14:07.965759,2026-03-12 12:14:08.298566,0 days 00:00:00.332807,0.05150710307949123,147,1.1378989422018166,0.9040617313255271,16,COMPLETE,100,384
5,0.44688541617193467,2026-03-12 12:14:08.326255,2026-03-12 12:14:08.661305,0 days 00:00:00.335050,0.28491343452094753,5,2.6587177262150035,0.01579647106964485,25,COMPLETE,100,384
6,0.07418242821682923,2026-03-12 12:14:08.690398,2026-03-12 12:14:09.007176,0 days 00:00:00.316778,0.2616321932721206,97,1.4125322086618213,0.9120613945023421,31,COMPLETE,100,384
7,0.23080961054383262,2026-03-12 12:14:09.034453,2026-03-12 12:14:09.333401,0 days 00:00:00.298948,0.24362935372420436,181,2.48846099629813,0.01210931667632173,1,COMPLETE,100,384
8,0.1116182627483297,2026-03-12 12:14:09.355932,2026-03-12 12:14:09.688661,0 days 00:00:00.332729,0.0903462956265967,146,2.5001286770719258,0.4351035488622045,53,COMPLETE,100,384
9,0.1467693211577727,2026-03-12 12:14:09.713616,2026-03-12 12:14:10.119074,0 days 00:00:00.405458,0.2676715428391414,127,1.2776145630551106,0.13500756827955898,90,COMPLETE,100,384
10,2.7895198015651945,2026-03-12 12:14:10.144045,2026-03-12 12:14:10.502864,0 days 00:00:00.358819,0.10257336972807289,62,1.9044013036150937,0.17354816915741603,87,COMPLETE,100,384
11,0.02377400845919628,2026-03-12 12:14:10.535410,2026-03-12 12:14:10.857657,0 days 00:00:00.322247,0.10008214298987324,55,1.7782972856910089,0.16683924117095153,99,COMPLETE,100,384
12,3.2840283207176175,2026-03-12 12:14:10.884882,2026-03-12 12:14:11.384090,0 days 00:00:00.499208,0.11743219433003572,76,1.9611767576309782,0.2901199553116425,78,COMPLETE,100,384
13,2.4053552016633764,2026-03-12 12:14:11.411084,2026-03-12 12:14:11.728333,0 days 00:00:00.317249,0.05434188373145344,64,1.9103964206394677,0.07495477759242068,79,COMPLETE,100,384
14,0.5423916914057451,2026-03-12 12:14:11.757781,2026-03-12 12:14:12.134810,0 days 00:00:00.377029,0.11106981423681098,93,1.5984592353163716,0.3409409984350243,72,COMPLETE,100,384
15,0.08782157485683004,2026-03-12 12:14:12.159810,2026-03-12 12:14:12.498908,0 days 00:00:00.339098,0.036896278624271736,28,2.11781095358734,0.07217952081168148,68,COMPLETE,100,384
16,0.29992719095914255,2026-03-12 12:14:12.516772,2026-03-12 12:14:12.926938,0 days 00:00:00.410166,0.1470153486596246,37,2.972160458806056,0.2992835983754751,84,COMPLETE,100,384
17,0.11988017988122966,2026-03-12 12:14:12.955089,2026-03-12 12:14:13.349384,0 days 00:00:00.394295,0.0720543474333286,86,1.993182351647669,0.09777413328581622,63,COMPLETE,100,384
18,0.12062685191884512,2026-03-12 12:14:13.371888,2026-03-12 12:14:13.694244,0 days 00:00:00.322356,0.031387091670403336,126,1.713365942005181,0.04626683318719503,95,COMPLETE,100,384
19,0.010889002955736925,2026-03-12 12:14:13.724581,2026-03-12 12:14:14.091490,0 days 00:00:00.366909,0.15331908641882946,78,2.1915013943735224,0.47311530264925505,81,COMPLETE,100,384
