status,fiedler,spectral_gap,score,prefix,config,n_samples,dim
success,0.0,5.622770773472471e-05,5.622770773472471e-05,"[0.0, 5.622770773472471e-05, 8.535601295441064e-05, 9.715948758771125e-05, 0.0003290625416466764]",baseline,4000,128
success,0.0,0.04864393035633992,0.04864393035633992,"[0.0, 0.04864393035633992, 0.05255512007128105, 0.06702424429272594, 0.07210250775673967]",optimized,4000,128
