number,value,datetime_start,datetime_complete,duration,params_eps,params_k,params_p,params_sigma,params_topk,state,dataset_n,dataset_dim
0,1.3366049376448081,2026-03-10 17:36:42.570383,2026-03-10 17:36:44.729081,0 days 00:00:02.158698,0.09474274124159324,5,2.744925973352829,0.23569459098007445,2403,COMPLETE,5000,128
1,0.04593110606463087,2026-03-10 17:36:44.751993,2026-03-10 17:36:46.826510,0 days 00:00:02.074517,0.0576898697670407,6,1.5368116154219273,0.10160964131039402,2302,COMPLETE,5000,128
2,0.5360036405241353,2026-03-10 17:36:46.845333,2026-03-10 17:36:49.092190,0 days 00:00:02.246857,0.06173493708633758,5,2.8720280876256163,0.09255874210855837,4050,COMPLETE,5000,128
3,10.093519674398621,2026-03-10 17:36:49.108430,2026-03-10 17:36:51.252946,0 days 00:00:02.144516,0.08145834065330029,6,2.384333260777213,0.08083042157124157,3406,COMPLETE,5000,128
4,1.1233720530131153,2026-03-10 17:36:51.274018,2026-03-10 17:36:53.421322,0 days 00:00:02.147304,0.21244256172624243,2,1.0892400318449498,0.10937673379073386,899,COMPLETE,5000,128
5,,2026-03-10 17:36:53.439921,2026-03-10 17:36:55.641683,0 days 00:00:02.201762,0.027993277985448265,6,1.0748119521492172,0.10842181455998418,3877,PRUNED,5000,128
6,0.2498097495545102,2026-03-10 17:36:55.658535,2026-03-10 17:36:57.845524,0 days 00:00:02.186989,0.2259866497608886,2,1.4579494403926703,0.09265225963067636,2217,COMPLETE,5000,128
7,0.5294663994330039,2026-03-10 17:36:57.864507,2026-03-10 17:36:59.898709,0 days 00:00:02.034202,0.04237408285247746,5,1.9650231379079204,0.06763354654866648,4453,COMPLETE,5000,128
8,0.3532100062396185,2026-03-10 17:36:59.917571,2026-03-10 17:37:02.193722,0 days 00:00:02.276151,0.2327631876292561,5,1.1168115409560497,0.02576217097387545,998,COMPLETE,5000,128
9,0.17533046518992693,2026-03-10 17:37:02.213037,2026-03-10 17:37:04.419093,0 days 00:00:02.206056,0.12430282634799582,4,1.4582555184806465,0.317889215485071,1994,COMPLETE,5000,128
10,,2026-03-10 17:37:04.437493,2026-03-10 17:37:06.480680,0 days 00:00:02.043187,0.010322933179122678,3,2.374241297263604,0.9132379097193953,3485,PRUNED,5000,128
11,1.021272394191297,2026-03-10 17:37:06.497407,2026-03-10 17:37:08.721941,0 days 00:00:02.224534,0.1057833704365289,6,2.758677214499053,0.30239490739176506,3062,COMPLETE,5000,128
12,15.881085214254885,2026-03-10 17:37:08.740751,2026-03-10 17:37:10.926259,0 days 00:00:02.185508,0.11305737956770195,4,2.4391579047084493,0.0123633267648655,3128,COMPLETE,5000,128
13,,2026-03-10 17:37:10.945607,2026-03-10 17:37:13.060661,0 days 00:00:02.115054,0.025535301581174803,4,2.3489700244568725,0.012045081238146368,4956,PRUNED,5000,128
14,0.1491370943159279,2026-03-10 17:37:13.076490,2026-03-10 17:37:15.067626,0 days 00:00:01.991136,0.1398198628083078,4,2.349370819622863,0.010288721300427666,3143,COMPLETE,5000,128
15,0.5200582324322901,2026-03-10 17:37:15.085505,2026-03-10 17:37:17.291343,0 days 00:00:02.205838,0.08034200638062299,3,2.0393786734137227,0.03756831278026561,82,COMPLETE,5000,128
16,0.5104493547910576,2026-03-10 17:37:17.311408,2026-03-10 17:37:19.300569,0 days 00:00:01.989161,0.03881052675777954,3,2.531860256401234,0.021677331015800938,3083,COMPLETE,5000,128
17,1.139837430132127,2026-03-10 17:37:19.327872,2026-03-10 17:37:21.579892,0 days 00:00:02.252020,0.14953270855450781,3,2.037629534857104,0.04492199473205132,3693,COMPLETE,5000,128
18,,2026-03-10 17:37:21.597710,2026-03-10 17:37:23.789782,0 days 00:00:02.192072,0.01689330992901455,5,2.5599304197986243,0.020927035368182776,1609,PRUNED,5000,128
19,0.5376642273411889,2026-03-10 17:37:23.805719,2026-03-10 17:37:25.887844,0 days 00:00:02.082125,0.07718609766516486,4,2.9899068694277977,0.6611827618346283,2907,COMPLETE,5000,128
